export-plot data (NetLogo 5.2.0),,,,,
liu.nlogo,,,,,
10/20/2015 00:16:38:803 +0800,,,,,
,,,,,
MODEL SETTINGS,,,,,
,,,,,
Firm A,,,,Firm B,
x,y,,,x,y
0,0.468574178,,,0,0.137425822
1,0.468574178,,,1,0.137425822
2,0.473214759,,,2,0.138785241
3,0.477856196,,,3,0.140143804
4,0.482498511,,,4,0.141501489
5,0.48714173,,,5,0.14285827
6,0.491785876,,,6,0.144214124
7,0.496430974,,,7,0.145569026
8,0.501077048,,,8,0.146922952
9,0.505724123,,,9,0.148275877
10,0.510372223,,,10,0.149627777
11,0.515021372,,,11,0.150978628
12,0.519671595,,,12,0.152328405
13,0.524322917,,,13,0.153677083
14,0.528975362,,,14,0.155024638
15,0.533628955,,,15,0.156371045
16,0.53828372,,,16,0.15771628
17,0.542939682,,,17,0.159060318
18,0.547596866,,,18,0.160403134
19,0.552255296,,,19,0.161744704
20,0.556914998,,,20,0.163085002
21,0.561575997,,,21,0.164424003
22,0.566238316,,,22,0.165761684
23,0.570901982,,,23,0.167098018
24,0.57556702,,,24,0.16843298
25,0.580233453,,,25,0.169766547
26,0.584901308,,,26,0.171098692
27,0.58957061,,,27,0.17242939
28,0.594241383,,,28,0.173758617
29,0.598913654,,,29,0.175086346
30,0.603587448,,,30,0.176412552
31,0.608262789,,,31,0.177737211
32,0.612939704,,,32,0.179060296
33,0.617618218,,,33,0.180381782
34,0.622298356,,,34,0.181701644
35,0.626980145,,,35,0.183019855
36,0.63166361,,,36,0.18433639
37,0.636348777,,,37,0.185651223
38,0.641035671,,,38,0.186964329
39,0.645724319,,,39,0.188275681
40,0.650414747,,,40,0.189585253
41,0.65510698,,,41,0.19089302
42,0.659801045,,,42,0.192198955
43,0.664496969,,,43,0.193503031
44,0.669194776,,,44,0.194805224
45,0.673894495,,,45,0.196105505
46,0.678596151,,,46,0.197403849
47,0.683299771,,,47,0.198700229
48,0.688005381,,,48,0.199994619
49,0.692713009,,,49,0.201286991
50,0.69742268,,,50,0.20257732
51,0.702134423,,,51,0.203865577
52,0.706848263,,,52,0.205151737
53,0.711564228,,,53,0.206435772
54,0.716282346,,,54,0.207717654
55,0.721002643,,,55,0.208997357
56,0.725725146,,,56,0.210274854
57,0.730449884,,,57,0.211550116
58,0.735176883,,,58,0.212823117
59,0.739906171,,,59,0.214093829
60,0.744637777,,,60,0.215362223
61,0.749371728,,,61,0.216628272
62,0.754108051,,,62,0.217891949
63,0.758846775,,,63,0.219153225
64,0.763587928,,,64,0.220412072
65,0.768331539,,,65,0.221668461
66,0.773077635,,,66,0.222922365
67,0.777826245,,,67,0.224173755
68,0.782577398,,,68,0.225422602
69,0.787331122,,,69,0.226668878
70,0.792087447,,,70,0.227912553
71,0.796846401,,,71,0.229153599
72,0.801608013,,,72,0.230391987
73,0.806372312,,,73,0.231627688
74,0.811139329,,,74,0.232860671
75,0.815909091,,,75,0.234090909
76,0.820681629,,,76,0.235318371
77,0.825456972,,,77,0.236543028
78,0.830235151,,,78,0.237764849
79,0.835016194,,,79,0.238983806
80,0.839800133,,,80,0.240199867
81,0.844586997,,,81,0.241413003
82,0.849376817,,,82,0.242623183
83,0.854169623,,,83,0.243830377
84,0.858965446,,,84,0.245034554
85,0.863764317,,,85,0.246235683
86,0.868566266,,,86,0.247433734
87,0.873371324,,,87,0.248628676
88,0.878179524,,,88,0.249820476
89,0.882990895,,,89,0.251009105
90,0.88780547,,,90,0.25219453
